Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM
C8XTB0	Arthropoda	Eukaryota	Malacostraca	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	None	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	None	GO:0004784; GO:0046872	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	Cu-Zn superoxide dismutase family	None	2.60.40.200;	None	None	None	PF00080;	None	SSF49329;
M9NZV8	Chordata	Eukaryota	Actinopteri	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]; neuron cellular homeostasis [GO:0070050]; response to metal ion [GO:0010038]; response to methylmercury [GO:0051597]; response to xenobiotic stimulus [GO:0009410]	neuron cellular homeostasis [GO:0070050]; response to metal ion [GO:0010038]; response to methylmercury [GO:0051597]; response to xenobiotic stimulus [GO:0009410]	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	None	GO:0004784; GO:0009410; GO:0010038; GO:0046872; GO:0051597; GO:0070050	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	Cu-Zn superoxide dismutase family	None	2.60.40.200;	None	AQRGFHI;	None	PF00080;	None	SSF49329;
M9P0B0	Chordata	Eukaryota	Actinopteri	mitochondrial matrix [GO:0005759]; metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	None	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	mitochondrial matrix [GO:0005759]	GO:0004784; GO:0005759; GO:0046872	Superoxide dismutase (EC 1.15.1.1)	Iron/manganese superoxide dismutase family	None	1.10.287.990;3.55.40.20;	None	None	None	PF02777;PF00081;	None	SSF46609;SSF54719;
P27082	Streptophyta	Eukaryota	Magnoliopsida	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	None	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	cytoplasm [GO:0005737]	GO:0004784; GO:0005737; GO:0046872	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	Cu-Zn superoxide dismutase family	None	2.60.40.200;	None	None	None	PF00080;	None	SSF49329;
A5HIG4	Streptophyta	Eukaryota	Magnoliopsida	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	None	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	None	GO:0004784; GO:0046872	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	Cu-Zn superoxide dismutase family	None	2.60.40.200;	None	None	None	PF00080;	None	SSF49329;
P61502	Deinococcus-Thermus	Bacteria	Deinococci	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]; bacillithiol biosynthetic process [GO:0071793]	bacillithiol biosynthetic process [GO:0071793]	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	None	GO:0004784; GO:0046872; GO:0071793	Superoxide dismutase [Mn] (EC 1.15.1.1)	Iron/manganese superoxide dismutase family	COG0605;	1.10.287.990;3.55.40.20;	CLU_031625_0_1_0;	KWGSFDK;	1440645at2;	PF02777;PF00081;	None	SSF46609;SSF54719;
E6Y8N8	Streptophyta	Eukaryota	Magnoliopsida	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	None	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	None	GO:0004784; GO:0046872	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	Cu-Zn superoxide dismutase family	None	2.60.40.200;	None	None	None	PF00080;	None	SSF49329;
P22302	Streptophyta	Eukaryota	Magnoliopsida	chloroplast [GO:0009507]; metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	None	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	chloroplast [GO:0009507]	GO:0004784; GO:0009507; GO:0046872	Superoxide dismutase [Fe], chloroplastic (EC 1.15.1.1) (Fragment)	Iron/manganese superoxide dismutase family	None	1.10.287.990;3.55.40.20;	None	None	None	PF02777;PF00081;	None	SSF46609;SSF54719;
P08294	Chordata	Eukaryota	Mammalia	collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; nucleus [GO:0005634]; copper ion binding [GO:0005507]; heparin binding [GO:0008201]; superoxide dismutase activity [GO:0004784]; blood vessel diameter maintenance [GO:0097746]; removal of superoxide radicals [GO:0019430]; response to copper ion [GO:0046688]; response to hypoxia [GO:0001666]	blood vessel diameter maintenance [GO:0097746]; removal of superoxide radicals [GO:0019430]; response to copper ion [GO:0046688]; response to hypoxia [GO:0001666]	copper ion binding [GO:0005507]; heparin binding [GO:0008201]; superoxide dismutase activity [GO:0004784]	collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; nucleus [GO:0005634]	GO:0001666; GO:0004784; GO:0005507; GO:0005576; GO:0005615; GO:0005634; GO:0005796; GO:0008201; GO:0019430; GO:0046688; GO:0062023; GO:0070062; GO:0097746	Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1)	Cu-Zn superoxide dismutase family	KOG0441;	2.60.40.200;	CLU_056632_3_1_1;	MHAKITE;	1574423at2759;	PF00080;	None	SSF49329;
A0A1L9VGR0	Ascomycota	Eukaryota	Eurotiomycetes	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	None	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	cytoplasm [GO:0005737]	GO:0004784; GO:0005737; GO:0046872	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	Cu-Zn superoxide dismutase family	None	2.60.40.200;	None	None	1574423at2759;	PF00080;	None	SSF49329;
