Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM
Q06AK1	Ascomycota	Eukaryota	Eurotiomycetes	chitin binding [GO:0008061]; chitinase activity [GO:0004568]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	chitinase activity [GO:0004568]; chitin binding [GO:0008061]	None	GO:0000272; GO:0004568; GO:0006032; GO:0008061	Chitinase (EC 3.2.1.14) (Fragment)	Glycosyl hydrolase 18 family	None	None	None	None	None	PF00704;	SM00636;	SSF51445;
A0A286JZ72	Mucoromycota	Eukaryota	Mucoromycetes	chitin binding [GO:0008061]; chitinase activity [GO:0004568]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	chitinase activity [GO:0004568]; chitin binding [GO:0008061]	None	GO:0000272; GO:0004568; GO:0006032; GO:0008061	Chitinase	Glycosyl hydrolase 18 family	None	3.10.50.10;	None	None	None	PF00704;	SM00636;	SSF51445;SSF54556;
Q54276	Proteobacteria	Bacteria	Gammaproteobacteria	extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]; chitin binding [GO:0008061]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	carbohydrate binding [GO:0030246]; chitin binding [GO:0008061]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	extracellular region [GO:0005576]	GO:0004553; GO:0005576; GO:0005975; GO:0008061; GO:0030246	Chitinase	Glycosyl hydrolase 18 family	None	3.10.50.10;	None	None	None	PF00704;	SM00495;SM00636;	SSF51055;SSF51445;SSF54556;
Q2V6H4	Arthropoda	Eukaryota	Insecta	extracellular region [GO:0005576]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	chitinase activity [GO:0004568]; chitin binding [GO:0008061]	extracellular region [GO:0005576]	GO:0004568; GO:0005576; GO:0005975; GO:0008061	Chitinase (EC 3.2.1.14)	Glycosyl hydrolase 18 family, Chitinase class II subfamily	None	3.10.50.10;	None	None	None	PF01607;PF00704;	SM00494;SM00636;	SSF51445;SSF54556;SSF57625;
H9CWQ0	Basidiomycota	Eukaryota	Agaricomycetes	chitin binding [GO:0008061]; chitinase activity [GO:0004568]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	chitinase activity [GO:0004568]; chitin binding [GO:0008061]	None	GO:0000272; GO:0004568; GO:0006032; GO:0008061	Chitinase 2	Glycosyl hydrolase 18 family	None	3.10.50.10;	None	None	None	PF00704;	SM00636;	SSF51445;SSF54556;
Q7XAU6	Streptophyta	Eukaryota	Magnoliopsida	chitin binding [GO:0008061]; chitinase activity [GO:0004568]; carbohydrate metabolic process [GO:0005975]; cell wall macromolecule catabolic process [GO:0016998]; chitin catabolic process [GO:0006032]	carbohydrate metabolic process [GO:0005975]; cell wall macromolecule catabolic process [GO:0016998]; chitin catabolic process [GO:0006032]	chitinase activity [GO:0004568]; chitin binding [GO:0008061]	None	GO:0004568; GO:0005975; GO:0006032; GO:0008061; GO:0016998	Class IV chitinase	None	KOG4742;	3.30.60.10;	CLU_045506_1_1_1;	None	1574413at2759;	PF00187;PF00182;	SM00270;	SSF53955;SSF57016;
K7ZLW6	Firmicutes	Bacteria	Bacilli	chitin binding [GO:0008061]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	chitin binding [GO:0008061]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	None	GO:0004553; GO:0005975; GO:0008061	Chitinase	None	None	3.10.50.10;	None	None	None	PF18683;PF00704;PF00395;	SM00636;	SSF51445;SSF54556;
A5A699	Firmicutes	Bacteria	Bacilli	extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]; chitin binding [GO:0008061]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	carbohydrate binding [GO:0030246]; chitin binding [GO:0008061]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	extracellular region [GO:0005576]	GO:0004553; GO:0005576; GO:0005975; GO:0008061; GO:0030246	Conserved protein, Glycoside Hydrolase Family 18	Glycosyl hydrolase 18 family, Chitinase class II subfamily	COG3325;COG3979;	2.60.40.10;3.10.50.10;	CLU_002833_14_3_9;	VNDGPAY;	None	PF02839;PF00041;PF00704;	SM00495;SM00060;SM00636;	SSF49265;SSF51055;SSF51445;SSF54556;
Q852P9	Streptophyta	Eukaryota	Magnoliopsida	chitin binding [GO:0008061]; chitinase activity [GO:0004568]; cell wall macromolecule catabolic process [GO:0016998]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	cell wall macromolecule catabolic process [GO:0016998]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	chitinase activity [GO:0004568]; chitin binding [GO:0008061]	None	GO:0000272; GO:0004568; GO:0006032; GO:0008061; GO:0016998	Chitinase (EC 3.2.1.14)	None	None	3.30.60.10;	None	None	None	PF00182;	SM00270;	SSF53955;SSF57016;
P29022	Streptophyta	Eukaryota	Magnoliopsida	extracellular region [GO:0005576]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]; endochitinase activity [GO:0008843]; amino sugar metabolic process [GO:0006040]; cell wall macromolecule catabolic process [GO:0016998]; chitin catabolic process [GO:0006032]; defense response to fungus [GO:0050832]; polysaccharide catabolic process [GO:0000272]	amino sugar metabolic process [GO:0006040]; cell wall macromolecule catabolic process [GO:0016998]; chitin catabolic process [GO:0006032]; defense response to fungus [GO:0050832]; polysaccharide catabolic process [GO:0000272]	chitinase activity [GO:0004568]; chitin binding [GO:0008061]; endochitinase activity [GO:0008843]	extracellular region [GO:0005576]	GO:0000272; GO:0004568; GO:0005576; GO:0006032; GO:0006040; GO:0008061; GO:0008843; GO:0016998; GO:0050832	Endochitinase A (EC 3.2.1.14) (ChitA) (Chitinase-A) (Seed chitinase A) (allergen Zea m 8)	Glycosyl hydrolase 19 family, Chitinase class IV subfamily	KOG4742;	3.30.60.10;	None	None	None	PF00187;PF00182;	SM00270;	SSF53955;SSF57016;
